,ID,ID_CONTA_CAIXA,ID_FIN_LANCAMENTO_PAGAR,ID_FIN_STATUS_PARCELA,NUMERO_PARCELA,DATA_EMISSAO,DATA_VENCIMENTO,DESCONTO_ATE,SOFRE_RETENCAO,VALOR,TAXA_JURO,TAXA_MULTA,TAXA_DESCONTO,VALOR_JURO,VALOR_MULTA,VALOR_DESCONTO
39,124,3,66,2,1,2022-05-24,2022-06-08,2022-05-24,,302.35,0.0,0.0,0.0,0.0,0.0,0.0
40,125,3,67,2,1,2022-05-24,2022-06-09,2022-05-24,,41.5,0.0,0.0,0.0,0.0,0.0,0.0
41,126,3,3,2,1,2022-05-24,2022-05-03,2022-05-24,,663.2,0.0,0.0,0.0,0.0,0.0,0.0
42,127,3,4,2,1,2022-05-24,2022-05-03,2022-05-24,,1067.0,0.0,0.0,0.0,0.0,0.0,0.0
43,128,3,4,2,2,2022-05-24,2022-05-31,2022-05-24,,1066.0,0.0,0.0,0.0,0.0,0.0,0.0
44,129,3,5,2,1,2022-05-24,2022-05-04,2022-05-24,,869.3,0.0,0.0,0.0,0.0,0.0,0.0
45,130,3,6,2,1,2022-05-24,2022-05-04,2022-05-24,,108.0,0.0,0.0,0.0,0.0,0.0,0.0
46,131,3,7,2,1,2022-05-24,2022-05-04,2022-05-24,,1453.36,0.0,0.0,0.0,0.0,0.0,0.0
47,132,3,7,2,2,2022-05-24,2022-05-11,2022-05-24,,1036.34,0.0,0.0,0.0,0.0,0.0,0.0
48,133,3,7,2,3,2022-05-24,2022-05-18,2022-05-24,,1036.34,0.0,0.0,0.0,0.0,0.0,0.0
49,134,3,8,2,1,2022-05-24,2022-05-04,2022-05-24,,462.2,0.0,0.0,0.0,0.0,0.0,0.0
50,135,3,9,2,1,2022-05-24,2022-05-05,2022-05-24,,35.98,0.0,0.0,0.0,0.0,0.0,0.0
51,136,3,10,2,1,2022-05-24,2022-05-05,2022-05-24,,239.83,0.0,0.0,0.0,0.0,0.0,0.0
52,142,3,12,2,1,2022-05-24,2022-05-06,2022-05-24,,164.93,0.0,0.0,0.0,0.0,0.0,0.0
53,143,3,13,2,1,2022-05-24,2022-05-06,2022-05-24,,133.1,0.0,0.0,0.0,0.0,0.0,0.0
54,144,3,14,2,1,2022-05-24,2022-05-06,2022-05-24,,857.16,0.0,0.0,0.0,0.0,0.0,0.0
55,145,3,14,2,2,2022-05-24,2022-06-03,2022-05-24,,857.17,0.0,0.0,0.0,0.0,0.0,0.0
56,146,3,15,2,1,2022-05-24,2022-05-06,2022-05-24,,3794.38,0.0,0.0,0.0,0.0,0.0,0.0
57,147,3,16,2,1,2022-05-24,2022-05-06,2022-05-24,,29.1,0.0,0.0,0.0,0.0,0.0,0.0
58,148,3,17,2,1,2022-05-24,2022-05-06,2022-05-24,,7.67,0.0,0.0,0.0,0.0,0.0,0.0
59,149,3,18,2,1,2022-05-24,2022-05-09,2022-05-24,,466.35,0.0,0.0,0.0,0.0,0.0,0.0
60,150,3,19,2,1,2022-05-24,2022-05-09,2022-05-24,,585.22,0.0,0.0,0.0,0.0,0.0,0.0
61,151,3,19,2,2,2022-05-24,2022-05-23,2022-05-24,,585.22,0.0,0.0,0.0,0.0,0.0,0.0
62,152,3,19,2,3,2022-05-24,2022-06-06,2022-05-24,,585.22,0.0,0.0,0.0,0.0,0.0,0.0
63,154,3,21,2,1,2022-05-24,2022-04-12,2022-05-24,,471.63,0.0,0.0,0.0,0.0,0.0,0.0
64,156,3,22,2,1,2022-05-24,2022-05-10,2022-05-24,,537.4,0.0,0.0,0.0,0.0,0.0,0.0
65,157,3,68,2,1,2022-05-25,2022-06-09,2022-05-25,,305.0,0.0,0.0,0.0,0.0,0.0,0.0
66,158,3,69,2,1,2022-05-25,2022-06-10,2022-05-25,,235.23,0.0,0.0,0.0,0.0,0.0,0.0
67,163,3,72,2,1,2022-05-25,2022-06-14,2022-05-25,,61.78,0.0,0.0,0.0,0.0,0.0,0.0
68,164,3,73,2,1,2022-05-25,2022-06-14,2022-05-25,,1438.1,0.0,0.0,0.0,0.0,0.0,0.0
69,165,3,74,2,1,2022-05-25,2022-06-14,2022-05-25,,330.59,0.0,0.0,0.0,0.0,0.0,0.0
70,166,3,75,2,1,2022-05-25,2022-06-14,2022-05-25,,305.0,0.0,0.0,0.0,0.0,0.0,0.0
71,167,3,76,2,1,2022-05-25,2022-06-16,2022-05-25,,108.8,0.0,0.0,0.0,0.0,0.0,0.0
72,168,3,77,2,1,2022-05-25,2022-06-17,2022-05-25,,1147.5,0.0,0.0,0.0,0.0,0.0,0.0
73,169,3,78,2,1,2022-05-25,2022-06-18,2022-05-25,,237.5,0.0,0.0,0.0,0.0,0.0,0.0
74,170,3,79,2,1,2022-05-25,2022-06-18,2022-05-25,,8.18,0.0,0.0,0.0,0.0,0.0,0.0
75,171,3,80,2,1,2022-05-25,2022-05-06,2022-05-25,,45.0,0.0,0.0,0.0,0.0,0.0,0.0
76,172,3,81,2,1,2022-05-25,2022-05-16,2022-05-25,,73.66,0.0,0.0,0.0,0.0,0.0,0.0
77,173,3,82,2,1,2022-05-25,2022-05-20,2022-05-25,,80.0,0.0,0.0,0.0,0.0,0.0,0.0
78,174,3,83,2,1,2022-05-25,2022-05-30,2022-05-25,,54.49,0.0,0.0,0.0,0.0,0.0,0.0
79,175,3,84,2,1,2022-05-25,2022-05-30,2022-05-25,,300.0,0.0,0.0,0.0,0.0,0.0,0.0
80,179,3,88,2,1,2022-05-25,2022-05-03,2022-05-25,,290.0,0.0,0.0,0.0,0.0,0.0,0.0
81,181,3,90,2,1,2022-05-25,2022-05-10,2022-05-25,,1637.33,0.0,0.0,0.0,0.0,0.0,0.0
82,182,3,91,2,1,2022-05-25,2022-05-04,2022-05-25,,70.0,0.0,0.0,0.0,0.0,0.0,0.0
83,183,3,92,2,1,2022-05-25,2022-05-11,2022-05-25,,70.0,0.0,0.0,0.0,0.0,0.0,0.0
84,184,3,93,2,1,2022-05-25,2022-05-19,2022-05-25,,70.0,0.0,0.0,0.0,0.0,0.0,0.0
85,185,3,94,2,1,2022-05-25,2022-05-17,2022-05-25,,197.5,0.0,0.0,0.0,0.0,0.0,0.0
86,200,3,101,2,1,2022-06-07,2022-05-24,2022-06-07,N,60.98,0.0,0.0,0.0,0.0,0.0,0.0
87,201,3,103,2,1,2022-06-07,2022-05-24,2022-06-07,N,1363.0,0.0,0.0,0.0,0.0,0.0,0.0
88,202,3,103,2,2,2022-06-07,2022-06-07,2022-06-07,N,1362.0,0.0,0.0,0.0,0.0,0.0,0.0
89,205,3,105,2,1,2022-06-08,2022-05-25,2022-06-08,N,2200.86,0.0,0.0,0.0,0.0,0.0,0.0
90,206,3,106,2,1,2022-06-08,2022-05-12,2022-06-08,N,850.0,0.0,0.0,0.0,0.0,0.0,0.0
91,207,3,106,2,2,2022-06-08,2022-05-26,2022-06-08,N,850.0,0.0,0.0,0.0,0.0,0.0,0.0
92,208,3,106,2,3,2022-06-08,2022-06-10,2022-06-08,N,850.0,0.0,0.0,0.0,0.0,0.0,0.0
93,210,3,25,2,1,2022-06-08,2022-05-11,2022-06-08,,1447.83,0.0,0.0,0.0,0.0,0.0,0.0
94,212,3,109,2,1,2022-06-08,2022-05-10,2022-06-08,,1603.33,0.0,0.0,0.0,0.0,0.0,0.0
95,213,3,110,2,1,2022-06-08,2022-05-10,2022-06-08,,119.9,0.0,0.0,0.0,0.0,0.0,0.0
96,222,3,118,2,1,2022-06-10,2022-05-14,2022-06-10,,139.57,0.0,0.0,0.0,0.0,0.0,0.0
97,223,3,119,2,1,2022-06-10,2022-05-14,2022-06-10,,45.46,0.0,0.0,0.0,0.0,0.0,0.0
98,224,3,120,2,1,2022-06-10,2022-05-14,2022-06-10,,100.34,0.0,0.0,0.0,0.0,0.0,0.0
99,226,3,122,2,1,2022-06-10,2022-05-15,2022-06-10,N,89.7,0.0,0.0,0.0,0.0,0.0,0.0
100,227,3,123,2,1,2022-06-10,2022-05-16,2022-06-10,N,1650.0,0.0,0.0,0.0,0.0,0.0,0.0
101,228,3,124,2,1,2022-06-10,2022-06-16,2022-06-10,N,1650.0,0.0,0.0,0.0,0.0,0.0,0.0
102,229,3,125,2,1,2022-06-10,2022-05-16,2022-06-10,N,817.5,0.0,0.0,0.0,0.0,0.0,0.0
103,230,3,126,2,1,2022-06-10,2022-05-16,2022-06-10,N,371.25,0.0,0.0,0.0,0.0,0.0,0.0
104,231,3,127,2,1,2022-06-10,2022-05-16,2022-06-10,N,272.5,0.0,0.0,0.0,0.0,0.0,0.0
105,232,3,128,2,1,2022-06-10,2022-05-16,2022-06-10,N,200.0,0.0,0.0,0.0,0.0,0.0,0.0
106,240,3,132,2,1,2022-06-10,2022-05-20,2022-06-10,N,17.62,0.0,0.0,0.0,0.0,0.0,0.0
107,243,3,135,2,1,2022-06-10,2022-05-18,2022-06-10,,568.81,0.0,0.0,0.0,0.0,0.0,0.0
108,244,3,136,2,1,2022-06-10,2022-06-20,2022-06-10,,435.81,0.0,0.0,0.0,0.0,0.0,0.0
109,245,3,137,2,1,2022-06-10,2022-05-20,2022-06-10,S,174.63,0.0,0.0,0.0,0.0,0.0,0.0
110,246,3,137,2,2,2022-06-10,2022-06-20,2022-06-10,S,174.6,0.0,0.0,0.0,0.0,0.0,0.0
111,247,3,137,2,3,2022-06-10,2022-07-20,2022-06-10,S,174.6,0.0,0.0,0.0,0.0,0.0,0.0
112,248,3,137,2,4,2022-06-10,2022-08-20,2022-06-10,S,174.6,0.0,0.0,0.0,0.0,0.0,0.0
113,249,3,137,2,5,2022-06-10,2022-09-20,2022-06-10,S,174.6,0.0,0.0,0.0,0.0,0.0,0.0
114,250,3,137,2,6,2022-06-10,2022-10-20,2022-06-10,S,174.6,0.0,0.0,0.0,0.0,0.0,0.0
115,251,3,138,2,1,2022-06-10,2022-05-10,2022-06-10,N,133.2,0.0,0.0,0.0,0.0,0.0,0.0
116,252,3,139,2,1,2022-06-10,2022-05-20,2022-06-10,,52.0,0.0,0.0,0.0,0.0,0.0,0.0
117,253,3,140,2,1,2022-06-10,2022-05-23,2022-06-10,,9.9,0.0,0.0,0.0,0.0,0.0,0.0
118,254,3,141,2,1,2022-06-10,2022-05-25,2022-06-10,,138.0,0.0,0.0,0.0,0.0,0.0,0.0
119,256,3,143,2,1,2022-06-10,2022-06-02,2022-06-10,,340.0,0.0,0.0,0.0,0.0,0.0,0.0
120,259,3,131,2,1,2022-06-11,2022-05-18,2022-06-11,,361.38,0.0,0.0,0.0,0.0,0.0,0.0
121,260,3,134,2,1,2022-06-11,2022-06-18,2022-06-11,,397.51,0.0,0.0,0.0,0.0,0.0,0.0
122,261,3,144,2,1,2022-06-11,2022-05-25,2022-06-11,,156.18,0.0,0.0,0.0,0.0,0.0,0.0
123,266,3,149,2,1,2022-06-11,2022-05-20,2022-06-11,,10.79,0.0,0.0,0.0,0.0,0.0,0.0
124,267,3,150,2,1,2022-06-11,2022-05-30,2022-06-11,,296.17,0.0,0.0,0.0,0.0,0.0,0.0
125,269,3,152,2,1,2022-06-11,2022-06-02,2022-06-11,,233.94,0.0,0.0,0.0,0.0,0.0,0.0
126,270,3,89,2,1,2022-06-15,2022-05-03,2022-06-15,,270.0,0.0,0.0,0.0,0.0,0.0,0.0
127,273,3,37,2,1,2022-06-28,2022-05-19,2022-06-28,,173.16,0.0,0.0,0.0,0.0,0.0,0.0
128,274,3,38,2,1,2022-06-28,2022-05-20,2022-06-28,,1678.0,0.0,0.0,0.0,0.0,0.0,0.0
129,275,3,40,2,1,2022-06-29,2022-05-23,2022-06-29,,719.0,0.0,0.0,0.0,0.0,0.0,0.0
130,276,3,40,2,2,2022-06-29,2022-06-20,2022-06-29,,719.0,0.0,0.0,0.0,0.0,0.0,0.0
131,277,3,11,2,1,2022-06-29,2022-05-02,2022-06-29,N,4726.22,0.0,0.0,0.0,0.0,0.0,0.0
132,278,3,21,2,1,2022-06-29,2022-05-10,2022-06-29,,421.0,0.0,0.0,0.0,0.0,0.0,0.0
133,279,3,97,2,1,2022-06-29,2022-06-04,2022-06-29,N,491.36,0.0,0.0,0.0,0.0,0.0,0.0
134,280,3,97,2,2,2022-06-29,2022-05-04,2022-06-29,N,491.35,0.0,0.0,0.0,0.0,0.0,0.0
135,282,3,100,2,1,2022-06-29,2022-05-24,2022-06-29,,1533.43,0.0,0.0,0.0,0.0,0.0,0.0
136,283,3,153,2,1,2022-06-29,2022-07-01,2022-06-29,N,1036.19,0.0,0.0,0.0,0.0,0.0,0.0
137,284,3,154,2,1,2022-06-29,2022-06-30,2022-06-29,N,199.5,0.0,0.0,0.0,0.0,0.0,0.0
138,285,3,155,2,1,2022-06-29,2022-06-30,2022-06-29,N,195.6,0.0,0.0,0.0,0.0,0.0,0.0
139,286,3,61,2,1,2022-06-29,2022-06-02,2022-06-29,,533.8,0.0,0.0,0.0,0.0,0.0,0.0
140,287,3,61,2,2,2022-06-29,2022-06-30,2022-06-29,,533.8,0.0,0.0,0.0,0.0,0.0,0.0
141,288,3,156,2,1,2022-06-29,2022-05-31,2022-06-29,,90.97,0.0,0.0,0.0,0.0,0.0,0.0
142,289,3,156,2,2,2022-06-29,2022-06-30,2022-06-29,,90.97,0.0,0.0,0.0,0.0,0.0,0.0
143,290,3,157,2,1,2022-06-29,2022-06-28,2022-06-29,,175.56,0.0,0.0,0.0,0.0,0.0,0.0
144,291,3,158,2,1,2022-06-29,2022-06-28,2022-06-29,N,6746.74,0.0,0.0,0.0,0.0,0.0,0.0
145,292,3,158,2,2,2022-06-29,2022-07-05,2022-06-29,N,4038.36,0.0,0.0,0.0,0.0,0.0,0.0
146,293,3,158,2,3,2022-06-29,2022-07-12,2022-06-29,N,4038.36,0.0,0.0,0.0,0.0,0.0,0.0
147,294,3,158,2,4,2022-06-29,2022-07-19,2022-06-29,N,4038.36,0.0,0.0,0.0,0.0,0.0,0.0
148,295,3,158,2,5,2022-06-29,2022-07-26,2022-06-29,N,4038.36,0.0,0.0,0.0,0.0,0.0,0.0
149,296,3,159,2,1,2022-06-29,2022-06-27,2022-06-29,,1096.86,0.0,0.0,0.0,0.0,0.0,0.0
150,297,3,160,2,1,2022-06-29,2022-06-27,2022-06-29,,9.93,0.0,0.0,0.0,0.0,0.0,0.0
151,298,3,161,2,1,2022-06-29,2022-06-27,2022-06-29,N,1095.42,0.0,0.0,0.0,0.0,0.0,0.0
152,299,3,161,2,2,2022-06-29,2022-07-27,2022-06-29,N,1095.41,0.0,0.0,0.0,0.0,0.0,0.0
153,300,3,162,2,1,2022-06-29,2022-06-25,2022-06-29,,138.0,0.0,0.0,0.0,0.0,0.0,0.0
154,301,3,163,2,1,2022-06-29,2022-06-24,2022-06-29,N,1658.65,0.0,0.0,0.0,0.0,0.0,0.0
155,302,3,164,2,1,2022-06-29,2022-06-24,2022-06-29,,634.11,0.0,0.0,0.0,0.0,0.0,0.0
156,303,3,164,2,2,2022-06-29,2022-07-22,2022-06-29,,634.11,0.0,0.0,0.0,0.0,0.0,0.0
157,304,3,165,2,1,2022-06-29,2022-06-24,2022-06-29,,825.3,0.0,0.0,0.0,0.0,0.0,0.0
158,305,3,165,2,2,2022-06-29,2022-07-22,2022-06-29,,825.31,0.0,0.0,0.0,0.0,0.0,0.0
159,306,3,166,2,1,2022-06-29,2022-06-24,2022-06-29,,950.04,0.0,0.0,0.0,0.0,0.0,0.0
160,307,3,167,2,1,2022-06-29,2022-06-22,2022-06-29,,22.48,0.0,0.0,0.0,0.0,0.0,0.0
161,308,3,168,2,1,2022-06-29,2022-06-22,2022-06-29,N,25.8,0.0,0.0,0.0,0.0,0.0,0.0
162,309,3,169,2,1,2022-06-29,2022-06-22,2022-06-29,,645.37,0.0,0.0,0.0,0.0,0.0,0.0
163,310,3,170,2,1,2022-06-29,2022-06-22,2022-06-29,,233.4,0.0,0.0,0.0,0.0,0.0,0.0
164,311,3,171,2,1,2022-06-29,2022-06-20,2022-06-29,,92.0,0.0,0.0,0.0,0.0,0.0,0.0
165,312,3,172,2,1,2022-06-29,2022-06-20,2022-06-29,,52.0,0.0,0.0,0.0,0.0,0.0,0.0
166,313,3,173,2,1,2022-06-29,2022-06-20,2022-06-29,N,1059.25,0.0,0.0,0.0,0.0,0.0,0.0
167,314,3,174,2,1,2022-06-29,2022-06-18,2022-06-29,,652.76,0.0,0.0,0.0,0.0,0.0,0.0
168,315,3,175,2,1,2022-06-29,2022-07-18,2022-06-29,,397.51,0.0,0.0,0.0,0.0,0.0,0.0
169,316,3,176,2,1,2022-06-29,2022-07-18,2022-06-29,,19.39,0.0,0.0,0.0,0.0,0.0,0.0
170,317,1,177,2,1,2022-07-01,2022-07-01,2022-07-01,N,703.1,0.0,0.0,0.0,0.0,0.0,0.0
171,319,1,179,2,1,2022-07-01,2022-07-05,2022-07-01,N,1730.0,0.0,0.0,0.0,0.0,0.0,0.0
172,320,1,180,2,1,2022-07-01,2022-07-01,2022-07-01,N,280.0,0.0,0.0,0.0,0.0,0.0,0.0
173,321,1,181,2,1,2022-07-01,2022-07-01,2022-07-01,N,32.91,0.0,0.0,0.0,0.0,0.0,0.0
174,322,3,182,2,1,2022-07-01,2022-06-15,2022-07-01,N,217.7,0.0,0.0,0.0,0.0,0.0,0.0
175,323,3,183,2,1,2022-07-01,2022-06-13,2022-07-01,,383.64,0.0,0.0,0.0,0.0,0.0,0.0
176,325,3,185,2,1,2022-07-01,2022-06-10,2022-07-01,,272.5,0.0,0.0,0.0,0.0,0.0,0.0
177,326,3,185,2,2,2022-07-01,2022-06-10,2022-07-01,,200.0,0.0,0.0,0.0,0.0,0.0,0.0
178,327,3,185,2,3,2022-07-01,2022-06-10,2022-07-01,,817.5,0.0,0.0,0.0,0.0,0.0,0.0
179,328,3,185,2,4,2022-07-01,2022-06-10,2022-07-01,,371.25,0.0,0.0,0.0,0.0,0.0,0.0
180,329,3,186,2,1,2022-07-01,2022-06-10,2022-07-01,N,773.0,0.0,0.0,0.0,0.0,0.0,0.0
181,330,3,186,2,2,2022-07-01,2022-07-08,2022-07-01,N,601.66,0.0,0.0,0.0,0.0,0.0,0.0
182,331,3,186,2,3,2022-07-01,2022-08-05,2022-07-01,N,601.67,0.0,0.0,0.0,0.0,0.0,0.0
183,332,3,186,2,4,2022-07-01,2022-09-02,2022-07-01,N,601.67,0.0,0.0,0.0,0.0,0.0,0.0
184,333,3,187,2,1,2022-07-01,2022-06-10,2022-07-01,,169.06,0.0,0.0,0.0,0.0,0.0,0.0
185,334,3,188,2,1,2022-07-01,2022-07-18,2022-07-01,,1774.81,0.0,0.0,0.0,0.0,0.0,0.0
186,335,3,189,2,1,2022-07-01,2022-06-10,2022-07-01,N,1823.88,0.0,0.0,0.0,0.0,0.0,0.0
187,336,3,190,2,1,2022-07-01,2022-06-10,2022-07-01,,1667.83,0.0,0.0,0.0,0.0,0.0,0.0
188,337,3,191,2,1,2022-07-01,2022-07-10,2022-07-01,N,179.67,0.0,0.0,0.0,0.0,0.0,0.0
189,338,3,192,2,1,2022-07-01,2022-06-10,2022-07-01,N,154.0,0.0,0.0,0.0,0.0,0.0,0.0
190,339,3,193,2,1,2022-07-01,2022-06-10,2022-07-01,N,192.75,0.0,0.0,0.0,0.0,0.0,0.0
191,340,3,194,2,1,2022-07-01,2022-06-10,2022-07-01,N,140.0,0.0,0.0,0.0,0.0,0.0,0.0
192,341,3,195,2,1,2022-07-01,2022-06-10,2022-07-01,,119.9,0.0,0.0,0.0,0.0,0.0,0.0
193,342,3,196,2,1,2022-07-01,2022-06-06,2022-07-01,N,80.0,0.0,0.0,0.0,0.0,0.0,0.0
194,343,3,197,2,1,2022-07-01,2022-06-06,2022-07-01,,67.25,0.0,0.0,0.0,0.0,0.0,0.0
195,344,3,198,2,1,2022-07-01,2022-07-11,2022-07-01,,1603.33,0.0,0.0,0.0,0.0,0.0,0.0
196,345,3,199,2,1,2022-07-01,2022-07-15,2022-07-01,,238.61,0.0,0.0,0.0,0.0,0.0,0.0
197,347,3,201,2,1,2022-07-01,2022-07-03,2022-07-01,,650.0,0.0,0.0,0.0,0.0,0.0,0.0
198,348,3,202,2,1,2022-07-04,2022-06-27,2022-07-04,N,255.0,0.0,0.0,0.0,0.0,0.0,0.0
199,381,3,234,2,1,2022-07-05,2022-07-12,2022-07-05,,104.12,0.0,0.0,0.0,0.0,0.0,0.0
200,382,3,235,2,1,2022-07-05,2022-07-03,2022-07-05,N,179.8,0.0,0.0,0.0,0.0,0.0,0.0
201,383,3,236,2,1,2022-07-05,2022-07-04,2022-07-05,,955.71,0.0,0.0,0.0,0.0,0.0,0.0
202,384,3,237,2,1,2022-07-05,2022-07-04,2022-07-05,,473.37,0.0,0.0,0.0,0.0,0.0,0.0
203,385,3,238,2,1,2022-07-05,2022-07-04,2022-07-05,,2363.18,0.0,0.0,0.0,0.0,0.0,0.0
204,386,3,239,2,1,2022-07-05,2022-07-05,2022-07-05,N,98.6,0.0,0.0,0.0,0.0,0.0,0.0
205,387,3,240,2,1,2022-07-05,2022-07-06,2022-07-05,,1996.51,0.0,0.0,0.0,0.0,0.0,0.0
206,388,3,241,2,1,2022-07-05,2022-07-07,2022-07-05,,718.85,0.0,0.0,0.0,0.0,0.0,0.0
207,391,3,243,2,1,2022-07-05,2022-07-08,2022-07-05,N,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
208,392,3,244,2,1,2022-07-05,2022-07-08,2022-07-05,,41.25,0.0,0.0,0.0,0.0,0.0,0.0
209,393,3,245,2,1,2022-07-05,2022-07-08,2022-07-05,,144.08,0.0,0.0,0.0,0.0,0.0,0.0
210,394,3,246,2,1,2022-07-05,2022-07-08,2022-07-05,,117.52,0.0,0.0,0.0,0.0,0.0,0.0
211,395,1,247,2,1,2022-07-05,2022-07-05,2022-07-05,N,20.0,0.0,0.0,0.0,0.0,0.0,0.0
212,397,1,249,2,1,2022-07-05,2022-07-06,2022-07-05,,370.0,0.0,0.0,0.0,0.0,0.0,0.0
213,398,1,248,2,1,2022-07-05,2022-07-05,2022-07-05,N,255.5,0.0,0.0,0.0,0.0,0.0,0.0
214,399,3,250,2,1,2022-07-05,2022-06-30,2022-07-05,,29.9,0.0,0.0,0.0,0.0,0.0,0.0
215,400,3,251,2,1,2022-07-05,2022-07-05,2022-07-05,,88.78,0.0,0.0,0.0,0.0,0.0,0.0
216,401,1,252,2,1,2022-07-05,2022-07-05,2022-07-05,N,22.0,0.0,0.0,0.0,0.0,0.0,0.0
217,402,1,253,2,1,2022-07-05,2022-07-05,2022-07-05,N,17.25,0.0,0.0,0.0,0.0,0.0,0.0
